rok,kvartal,hdp,priemerna_mzda,minimalna_mzda,miera_nezamestanosti,min_mzda/priem_mzda,rocny_rast_hdp,HDP_lag1,HDP_lag2,u1,u2,u3,hdp_o
2001,1Q,7769.0,375.6,146.05,19.7,0.3888445154419595,,,,1,0,0,"11240,90"
2001,2Q,8735.4,400.6,146.05,19.2,0.3645781328007988,,,,0,1,0,"12372,60"
2001,3Q,8793.4,401.3,146.05,19.0,0.3639421878893596,,,,0,0,1,"12294,80"
2001,4Q,9009.6,464.1,155.52,18.7,0.3351001939237233,,,,0,0,0,"12630,00"
2002,1Q,8416.1,407.9,163.31,19.4,0.4003677371904879,8.32925730467242,,,1,0,0,"11655,30"
2002,2Q,9246.6,442.5,163.31,18.6,0.3690621468926554,5.852050278178455,,,0,1,0,"12666,10"
2002,3Q,9707.5,436.6,163.31,18.2,0.3740494732020155,10.395296472354271,,,0,0,1,"13250,20"
2002,4Q,9902.1,507.0,163.31,17.9,0.3221104536489152,9.906100159829515,,,0,0,0,"13110,80"
2003,1Q,9271.1,434.2,163.31,18.4,0.3761169967756794,10.15909982058198,8.32925730467242,,1,0,0,"12296,50"
2003,2Q,10205.9,468.8,163.31,17.0,0.3483575085324232,10.374624186187347,5.852050278178455,,0,1,0,"13362,10"
2003,3Q,10645.1,466.8,163.31,17.0,0.3498500428449014,9.65851146021118,10.395296472354271,,0,0,1,"13729,50"
2003,4Q,11088.7,537.4,184.89,17.4,0.3440454037960551,11.983316670201273,9.906100159829515,,0,0,0,"13755,80"
2004,1Q,10562.8,482.7,184.89,19.3,0.3830329397141081,13.932543063929833,10.15909982058198,8.32925730467242,1,0,0,"12882,00"
2004,2Q,11148.9,513.7,184.89,18.5,0.359918240218026,9.23975347593059,10.374624186187347,5.852050278178455,0,1,0,"13777,00"
2004,3Q,11935.3,507.8,184.89,17.5,0.3641000393855848,12.1201303886295,9.65851146021118,10.395296472354271,0,0,1,"14797,80"
2004,4Q,12349.9,597.0,201.82,17.1,0.3380569514237855,11.37374083526472,11.983316670201273,9.906100159829515,0,0,0,"14551,30"
